# xrslam-regression report v2
M allow_unpaced 0
M build_dir /tmp/xrreg/post_off
M config_from_string 0
M host KaidongdeMacBook-Pro.local
M lib /tmp/xrreg/post_off/xrslam-interface/libxrslam.dylib
M lib_sha256 65ddc3231d9fd217be3249c083702f66e8fee6bfa1f16f3092e077e7536a2ebb
M lib_threading 0
M lib_version xrslam v0.5.0
M max_frames 160
M opt_inspection 1
M opt_lowlatency 0
M opt_threading 0
M pace 0
M python 3.14.7
M sensor_config sensor.yaml
M seq synth://
M settle_ms 0.0
M slam_config slam.yaml
M src_source synth
M src_synth_accel_bias (0.0, 0.0, 0.0)
M src_synth_accel_noise 0
M src_synth_bg_high 78
M src_synth_bg_low 40
M src_synth_blob_peak 240
M src_synth_blob_radius 3
M src_synth_blob_sigma 1.25
M src_synth_cam_rate 20
M src_synth_cx 376
M src_synth_cy 240
M src_synth_duration 12
M src_synth_fx 460
M src_synth_fy 460
M src_synth_gyro_bias (0.0, 0.0, 0.0)
M src_synth_gyro_noise 0
M src_synth_height 480
M src_synth_imu_rate 200
M src_synth_imu_scale 1
M src_synth_imu_seed 12345
M src_synth_num_landmarks 400
M src_synth_seed 20260823
M src_synth_t0 100
M src_synth_width 752
M tag run#0
M tool pw_tools/regression
M wall_start 1787425054.352
C idx frame_ts pose_ts state landmarks fusion_total qx qy qz qw tx ty tz push_rc lm_rc ms det_kp trk_kp inl_kp mapped_lm lm_published lm_usable core_seq core_imu degen settled
F 0 100.025000000 100.025000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.057 -1 -1 -1 -1 0 0 0 -1 1 1
F 1 100.075000000 100.075000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.023 191 -1 -1 -1 0 0 1 6 1 1
F 2 100.125000000 100.125000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.021 194 184 191 -1 0 0 2 10 1 1
F 3 100.175000000 100.175000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.021 190 186 194 -1 0 0 3 10 1 1
F 4 100.225000000 100.225000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.017 188 182 190 -1 0 0 4 10 1 1
F 5 100.275000000 100.275000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.017 190 183 188 -1 0 0 5 10 1 1
F 6 100.325000000 100.325000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.017 187 176 190 -1 0 0 6 10 1 1
F 7 100.375000000 100.375000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.021 180 175 187 -1 0 0 7 10 1 1
F 8 100.425000000 100.425000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.018 180 173 180 -1 0 0 8 10 1 1
F 9 100.475000000 100.475000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.022 180 175 180 -1 0 0 9 10 1 1
F 10 100.525000000 100.525000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.019 180 174 180 -1 0 0 10 10 1 1
F 11 100.575000000 100.575000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.018 183 178 180 -1 0 0 11 10 1 1
F 12 100.625000000 100.625000000 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0.017 181 180 183 -1 0 0 12 10 1 1
